City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
378,Ukiah,US,80.49,clear sky,39.1502,-123.2078,Hampton Inn Ukiah
379,Khlung,TH,89.92,overcast clouds,12.4547,102.2214,Bai Phai Resort
380,Los Llanos De Aridane,ES,62.35,overcast clouds,28.6585,-17.9182,Valle Aridane
381,Turochak,RU,78.28,overcast clouds,52.2576,87.1224,"Usad'ba ""Lebed'"""
383,Zlobin,HR,61.38,clear sky,45.2924,14.6541,Hotel Bitoraj Fuzine
384,Soe,ID,82.8,broken clouds,-9.8607,124.28399999999999,Dena Hotel
387,Yeniseysk,RU,64.98,overcast clouds,58.4497,92.1703,"""Domino"""
388,Mangrol,IN,86.63,broken clouds,21.1167,70.1167,Hotel The Royal Honours
392,Ugoofaaru,MV,82.8,overcast clouds,5.6667,73.0,Ungoofaaru Inn
393,Beira,MZ,68.09,few clouds,-19.8436,34.8389,Beira Terrace Hotel
394,Roald,NO,64.0,clear sky,62.5833,6.1333,Flem Cabins
395,Santa Fe,AR,63.0,clear sky,-31.6333,-60.7,Conquistador Hotel
396,Nola,IT,68.92,clear sky,40.922,14.5329,Pamaran Hotel
397,Batticaloa,LK,81.01,overcast clouds,7.7102,81.6924,Grand Star Guest House
398,Beidao,CN,80.8,few clouds,34.5686,105.8933,Shell Tianshui Maiji District Erma Road Walking Street Hotel
399,Dingle,PH,89.28,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
400,Praia Da Vitoria,PT,62.76,few clouds,38.7333,-27.0667,Hotel Branco I
401,Mandalgovi,MN,68.52,clear sky,45.7625,106.2708,В.Ганбат
402,Basay,PH,86.0,overcast clouds,9.4087,122.64,Nikka's Place (Basay Transient Rooms)
406,Porto Novo,BJ,82.22,moderate rain,6.4965,2.6036,Tour Eiffel Hotel Benin
407,Meadow Lake,US,77.25,broken clouds,34.8014,-106.5436,JKL Inc. R.V Park and Storage
408,Mumford,GH,78.93,moderate rain,5.2618,-0.759,Spanish Villa
411,Vocklabruck,AT,60.82,broken clouds,48.0167,13.65,Hotel Auerhahn
412,Virginia Beach,US,72.01,overcast clouds,36.8529,-75.97800000000001,Hilton Virginia Beach Oceanfront
415,Cedar City,US,77.97,clear sky,37.6775,-113.0619,Hampton Inn Cedar City
418,Safaga,EG,76.95,scattered clouds,26.7292,33.9365,Lamar Resort Abu Soma
420,Presidencia Roque Saenz Pena,AR,69.82,scattered clouds,-26.7852,-60.4388,Hotel Gualok
421,Kudahuvadhoo,MV,83.64,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
423,Kundgol,IN,82.02,overcast clouds,15.25,75.25,Anand Menasagi
425,Majene,ID,87.96,scattered clouds,-3.5403,118.9707,Kost Putri RABBANI
427,Guane,CU,75.85,broken clouds,22.2025,-84.0875,base de Campismo LosPortales de Guane
428,Aligudarz,IR,78.35,clear sky,33.4006,49.6949,کوچه شهید محمد جواد رشیدی
429,Xai-Xai,MZ,62.4,light rain,-25.0519,33.6442,Complexo da Familia
430,Belyy Yar,RU,76.89,moderate rain,53.6039,91.3903,Pasportnyy Stol
431,Manzanillo,CU,74.32,few clouds,20.3433,-77.1167,"HOSTAL ""THE YELLOW HOUSE"""
433,Puerto Baquerizo Moreno,EC,71.71,scattered clouds,-0.9,-89.6,Hotel los Algarrobos
434,Chickasha,US,71.92,scattered clouds,35.0526,-97.9364,"Holiday Inn Express & Suites Chickasha, an IHG Hotel"
435,Tommot,RU,75.83,few clouds,58.9564,126.2925,Gostinitsa Tommot
436,Dharapuram,IN,85.84,overcast clouds,10.7333,77.5167,Sakthi Lodge
437,Altamira,BR,71.11,moderate rain,-3.2033,-52.2064,Requinte Hotel
439,Sayyan,YE,69.28,scattered clouds,15.1718,44.3244,متنزه و بحيرة سيان
442,Gornyye Klyuchi,RU,64.42,few clouds,45.25,133.5,Empire
444,Jiwani,PK,85.66,broken clouds,25.05,61.7417,Al Mumtaz Transport Jiwani
447,Suluq,LY,73.65,clear sky,31.6682,20.2521,منزل عبدالواحد خليفة الفاخري
449,Roma,US,67.66,overcast clouds,43.2128,-75.4557,Wingate By Wyndham Rome
452,Whitefish,US,74.95,clear sky,48.4111,-114.3376,Best Western Rocky Mountain Lodge
454,Kahului,US,80.62,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
456,Goderich,CA,64.72,few clouds,43.7501,-81.7165,Harmony Inn
457,Lambarene,GA,73.09,broken clouds,-0.7001,10.2406,Le Refuge
460,Pacific Grove,US,61.81,few clouds,36.6177,-121.9166,Lovers Point Inn
461,Vila Velha,BR,69.94,clear sky,-20.3297,-40.2925,Quality Suites Vila Velha
462,Harper,LR,79.48,light rain,4.375,-7.7169,Screensaver
463,Pimentel,PE,66.0,clear sky,-6.8367,-79.9342,Casona Del Muelle
465,Sorong,ID,79.66,overcast clouds,-0.8833,131.25,waigo splash hotel
468,Les Cayes,HT,78.08,few clouds,18.2,-73.75,Villa Orphee
471,Garissa,KE,77.11,broken clouds,-0.4536,39.6401,Sharif Plaza Hotel
472,Howard Springs,AU,89.51,few clouds,-12.497,131.047,buffalo beach hostel
473,Sakakah,SA,81.97,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
474,Awbari,LY,84.09,clear sky,26.5921,12.7805,فندق أوباري
475,Sanmenxia,CN,89.78,clear sky,34.7747,111.1814,Pengzhou Hotel
477,Zhengjiatun,CN,71.44,scattered clouds,43.5064,123.5064,Siping Hexiang Hotel
478,Flic En Flac,MU,70.36,few clouds,-20.2742,57.3631,Hilton Mauritius Resort & Spa
479,Turayf,SA,68.25,clear sky,31.6725,38.6637,Swiss Spirit Hotel & Suites Turaif
481,Jinchang,CN,81.12,clear sky,38.4953,102.1739,Mingshihui Jinchang International Hotel
482,Podor,MR,87.44,few clouds,16.6527,-14.9587,Auberge Du Tékrour
484,Sao Sebastiao,BR,68.27,scattered clouds,-23.76,-45.4097,Hotel Recanto dos Pássaros
485,Price,US,79.86,clear sky,39.5994,-110.8107,National 9 - Price River Inn
487,Pemba,MZ,70.5,scattered clouds,-12.974,40.5178,Guesthouse Samotina
488,Sechura,PE,67.86,clear sky,-5.5569,-80.8222,Hospedaje Costa Bella
489,Tortoli,IT,66.81,clear sky,39.9256,9.6572,Hotel La Bitta
492,Kologriv,RU,60.4,clear sky,58.8275,44.3178,Postoyalyy Dvor
497,Palmer,US,68.38,overcast clouds,42.1584,-72.3287,Wedgewood Motel
499,Santa Rita Do Sapucai,BR,62.08,clear sky,-22.2522,-45.7033,Carlito's Hostel
500,Valle De Allende,MX,67.32,overcast clouds,26.9333,-105.4,Hotel Meson de San Bartolome
501,Sambava,MG,73.65,broken clouds,-14.2667,50.1667,Melrose
503,Bae,ID,88.9,broken clouds,-6.7681,110.8617,@HOM Hotel by Horison
504,Bodden Town,KY,81.93,clear sky,19.2833,-81.25,Will T Place
505,Namibe,AO,71.08,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
506,Geraldton,AU,73.13,clear sky,-28.7667,114.6,Broadwater Mariner Resort
507,Iralaya,HN,79.88,clear sky,15.0,-83.2333,Iglesia morava renovada
508,Mareeba,AU,78.44,broken clouds,-17.0,145.4333,Trinity Plains Tourist Park
510,Vitoria Do Mearim,BR,71.83,scattered clouds,-3.4622,-44.8706,HOTEL VITÓRIA IMPORTADOS
511,Nuevo Progreso,MX,76.59,broken clouds,23.1667,-97.95,Balneario Rio el Paraiso
512,Caborca,MX,81.48,scattered clouds,30.5838,-111.101,Hotel Los Lagos
514,Buta,CD,70.56,overcast clouds,2.7858,24.73,HOTEL BISO NA BISO
516,Lakeside,US,75.25,mist,30.13,-81.7682,Whitey's Fish Camp
519,Sao Miguel Do Araguaia,BR,71.29,scattered clouds,-13.275,-50.1628,Hotel Executivo Palace
521,Zinder,NE,82.29,scattered clouds,13.8072,8.9881,Hotel de Ville
522,Pimenta Bueno,BR,70.43,broken clouds,-11.6725,-61.1936,Cristalina Palace Hotel
523,Basco,PH,83.25,broken clouds,20.4487,121.9702,Nathaniel's Lodge
524,Bowen,AU,80.82,broken clouds,-20.0167,148.2333,Castle Motor Lodge Motel
526,Liwale,TZ,67.59,scattered clouds,-9.7667,37.9333,Samoma Lodge
528,Tshikapa,CD,69.04,few clouds,-6.4167,20.8,Hôtel Tshia-Muntu de Tshikapa
530,Soto La Marina,MX,75.78,broken clouds,23.7667,-98.2167,Hotel Chicago
531,Zhezkazgan,KZ,79.32,light rain,47.8043,67.7144,Ul. Ranova 15-1 Kvartiry Posutochno.
533,Parintins,BR,73.17,overcast clouds,-2.6283,-56.7358,Cama e Cafe
535,Gladstone,AU,67.93,overcast clouds,-23.85,151.25,Highpoint International
537,Vanimo,PG,83.59,broken clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
538,Katsuura,JP,73.11,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
542,San-Pedro,CI,78.94,light rain,4.7485,-6.6363,Hotel Maria
544,Mahibadhoo,MV,84.09,overcast clouds,3.7833,72.9667,Omadhoo Inn
545,Niquelandia,BR,67.17,clear sky,-14.4739,-48.4597,Hotel Suinã
547,Dzaoudzi,YT,80.49,broken clouds,-12.7887,45.2699,Le Rocher
548,Tiarei,PF,78.82,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
554,Tezu,IN,89.44,overcast clouds,27.9167,96.1667,Circuit House
