City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
170,New Norfolk,AU,2021-06-01 21:34:09,-42.7826,147.0587,51.93,72,97,3.11
171,Tekeli,KZ,2021-06-01 21:34:09,44.83,78.8239,61.68,39,0,10.45
172,Kuching,MY,2021-06-01 21:34:10,1.55,110.3333,75.42,100,20,2.3
173,Hobyo,SO,2021-06-01 21:34:10,5.3505,48.5268,78.85,77,99,19.37
174,Pacific Grove,US,2021-06-01 21:30:34,36.6177,-121.9166,91.56,77,1,7.0
175,Pangnirtung,CA,2021-06-01 21:34:11,66.1451,-65.7125,39.2,70,90,9.22
176,Kruisfontein,ZA,2021-06-01 21:34:11,-34.0033,24.7314,54.88,80,33,10.27
177,Fortuna,US,2021-06-01 21:34:11,40.5982,-124.1573,60.98,81,1,14.97
178,Narsaq,GL,2021-06-01 21:34:12,60.9167,-46.05,53.82,73,89,4.88
179,Wesley,DM,2021-06-01 21:34:12,15.5667,-61.3167,86.18,65,75,11.5
180,Namibe,AO,2021-06-01 21:34:13,-15.1961,12.1522,69.64,85,87,1.77
181,Thunder Bay,CA,2021-06-01 21:34:13,48.4001,-89.3168,75.11,39,75,17.27
182,Antsohihy,MG,2021-06-01 21:34:13,-14.8796,47.9875,69.1,72,37,6.93
183,Kaitangata,NZ,2021-06-01 21:34:14,-46.2817,169.8464,52.93,66,100,6.98
184,Chabahar,IR,2021-06-01 21:34:14,25.2919,60.643,86.63,73,0,11.43
185,Ayan,RU,2021-06-01 21:34:14,56.45,138.1667,37.06,96,100,13.96
186,Banda Aceh,ID,2021-06-01 21:34:15,5.5577,95.3222,80.02,81,99,7.49
187,Dondo,MZ,2021-06-01 21:34:15,-19.6094,34.7431,69.31,97,36,4.85
188,Uri,IN,2021-06-01 21:34:16,34.0833,74.0333,59.43,87,66,6.98
189,Ust-Koksa,RU,2021-06-01 21:34:16,50.2696,85.6108,54.64,67,30,1.12
190,Togul,RU,2021-06-01 21:34:16,53.465,85.9128,54.03,71,43,4.23
191,Esperance,AU,2021-06-01 21:34:17,-33.8667,121.9,55.24,73,72,10.22
192,Penzance,GB,2021-06-01 21:34:17,50.1186,-5.5371,63.61,70,100,10.45
193,Anjiang,CN,2021-06-01 21:34:18,27.3194,110.1031,73.36,96,88,0.98
194,Port Alfred,ZA,2021-06-01 21:34:18,-33.5906,26.891,60.04,85,84,9.37
195,Klyuchevskiy,RU,2021-06-01 21:34:19,53.5317,119.4519,50.88,92,89,4.41
196,Beidao,CN,2021-06-01 21:34:19,34.5686,105.8933,61.95,79,100,2.91
197,Sungaipenuh,ID,2021-06-01 21:34:19,-2.0833,101.3833,63.93,97,59,0.92
198,Margate,GB,2021-06-01 21:34:20,51.3813,1.3862,60.04,63,7,3.0
199,Hambantota,LK,2021-06-01 21:34:20,6.1241,81.1185,79.14,100,1,15.03
200,Sisimiut,GL,2021-06-01 21:34:20,66.9395,-53.6735,41.4,65,26,4.94
201,Kot Addu,PK,2021-06-01 21:34:21,30.4692,70.9671,82.26,44,1,7.29
202,Tanga,TZ,2021-06-01 21:34:21,-5.0667,39.1,73.15,87,41,8.79
203,Harper,LR,2021-06-01 21:34:22,4.375,-7.7169,78.96,82,81,6.73
204,Zabaykalsk,RU,2021-06-01 21:34:22,49.6333,117.3167,46.49,50,12,2.13
205,Rio Grande,BR,2021-06-01 21:34:22,-32.035,-52.0986,55.94,69,58,8.21
206,Shevchenkove,UA,2021-06-01 21:34:23,49.6959,37.1735,49.78,93,100,16.26
207,Nemuro,JP,2021-06-01 21:34:23,43.3236,145.575,47.52,86,88,7.34
208,Praia Da Vitoria,PT,2021-06-01 21:34:24,38.7333,-27.0667,61.05,63,40,12.57
209,Haines Junction,CA,2021-06-01 21:34:24,60.7522,-137.5108,64.35,22,24,8.05
210,Road Town,VG,2021-06-01 21:30:43,18.4167,-64.6167,84.29,65,40,13.8
211,Ketchikan,US,2021-06-01 21:34:24,55.3422,-131.6461,53.58,98,100,4.14
212,Stege,DK,2021-06-01 21:34:25,54.987,12.2846,54.09,81,86,10.65
213,Geraldton,AU,2021-06-01 21:34:25,-28.7667,114.6,52.21,82,0,8.28
214,Middelburg,ZA,2021-06-01 21:34:24,-25.7751,29.4648,41.63,55,0,5.06
215,Puerto Leguizamo,CO,2021-06-01 21:34:26,-0.1934,-74.7819,80.1,80,67,2.57
216,Eureka,US,2021-06-01 21:34:26,40.8021,-124.1637,61.25,74,55,5.01
217,Edd,ER,2021-06-01 21:34:27,13.9297,41.6925,87.85,55,10,2.8
218,Egvekinot,RU,2021-06-01 21:34:27,66.3167,-179.1667,31.8,62,55,4.05
219,Norman Wells,CA,2021-06-01 21:34:27,65.282,-126.8329,50.04,66,75,14.97
220,Channarayapatna,IN,2021-06-01 21:34:28,12.9044,76.3917,70.36,90,95,7.07
221,Erenhot,CN,2021-06-01 21:34:28,43.6475,111.9767,46.15,60,74,7.4
222,Hirara,JP,2021-06-01 21:34:29,24.8,125.2833,81.52,86,37,8.68
223,Rio Novo,BR,2021-06-01 21:34:29,-21.4575,-43.1253,68.85,88,65,1.63
224,Cabedelo,BR,2021-06-01 21:34:29,-6.9811,-34.8339,75.87,77,6,9.19
225,Nara,JP,2021-06-01 21:34:30,34.6851,135.8049,69.49,65,100,3.96
226,Huilong,CN,2021-06-01 21:34:30,31.8111,121.655,71.04,93,100,21.39
227,Myanaung,MM,2021-06-01 21:34:30,18.2833,95.3167,81.3,73,68,1.72
228,Fairbanks,US,2021-06-01 21:33:37,64.8378,-147.7164,64.36,60,90,0.0
229,Richards Bay,ZA,2021-06-01 21:34:31,-28.783,32.0377,62.4,79,99,16.04
230,Cabo San Lucas,MX,2021-06-01 21:32:09,22.8909,-109.9124,96.8,26,20,6.91
231,Aksarka,RU,2021-06-01 21:34:31,66.5606,67.7975,32.99,72,16,16.33
232,Ancud,CL,2021-06-01 21:34:32,-41.8697,-73.8203,49.53,75,95,7.38
233,Bonavista,CA,2021-06-01 21:34:32,48.6499,-53.1147,53.6,87,81,20.87
234,Isangel,VU,2021-06-01 21:34:33,-19.55,169.2667,71.71,78,75,11.54
235,Cascais,PT,2021-06-01 21:30:08,38.6979,-9.4215,63.46,71,20,3.0
236,Aras,ES,2021-06-01 21:34:33,42.5617,-2.356,58.71,89,0,1.77
237,Tabou,CI,2021-06-01 21:34:34,4.423,-7.3528,78.8,83,99,6.71
238,Nakatunguru,TZ,2021-06-01 21:34:34,-2.1167,33.0667,68.04,64,98,6.46
239,Caibarien,CU,2021-06-01 21:34:34,22.5206,-79.4669,81.72,76,15,13.76
240,Aitape,PG,2021-06-01 21:34:35,-3.1374,142.3475,76.35,87,100,2.77
241,Fort Nelson,CA,2021-06-01 21:34:35,58.8053,-122.7002,83.79,21,75,17.27
242,Yulara,AU,2021-06-01 21:34:36,-25.2406,130.9889,44.44,87,0,5.75
243,Kavaratti,IN,2021-06-01 21:34:36,10.5669,72.642,83.48,77,92,15.41
244,Sinnamary,GF,2021-06-01 21:34:36,5.3833,-52.95,76.78,90,99,5.61
245,Ballina,AU,2021-06-01 21:34:37,-28.8667,153.5667,54.95,95,100,0.0
246,Kawalu,ID,2021-06-01 21:34:37,-7.3817,108.2082,72.32,98,97,1.19
247,Dunedin,NZ,2021-06-01 21:34:38,-45.8742,170.5036,49.87,69,61,7.67
248,Comodoro Rivadavia,AR,2021-06-01 21:33:35,-45.8667,-67.5,44.46,70,75,4.61
249,Laguna,US,2021-06-01 21:31:20,38.421,-121.4238,106.21,27,1,5.01
250,Thompson,CA,2021-06-01 21:34:39,55.7435,-97.8558,66.36,37,20,4.61
251,Cabo Rojo,PR,2021-06-01 21:34:39,18.0866,-67.1457,84.0,85,100,1.01
252,Bengkulu,ID,2021-06-01 21:34:39,-3.8004,102.2655,74.77,92,89,4.29
253,Valle Hermoso,MX,2021-06-01 21:34:40,25.6667,-97.8333,78.66,50,78,16.02
254,Escanaba,US,2021-06-01 21:34:40,45.7453,-87.0646,75.67,68,1,9.22
255,Freeport,US,2021-06-01 21:30:23,40.6576,-73.5832,79.2,61,1,8.01
256,Bismil,TR,2021-06-01 21:34:41,37.8486,40.6658,73.13,35,0,3.15
257,Omboue,GA,2021-06-01 21:34:41,-1.5746,9.2618,77.02,83,100,7.0
258,Sinegorye,RU,2021-06-01 21:34:42,62.0788,150.477,43.83,62,60,3.4
259,Mandapam,IN,2021-06-01 21:34:42,9.2833,79.1167,85.19,69,16,12.5
260,Taywarah,AF,2021-06-01 21:34:42,33.35,64.4167,55.06,24,0,4.16
261,Panama City,PA,2021-06-01 21:34:16,8.9936,-79.5197,88.05,62,40,16.11
262,Kachug,RU,2021-06-01 21:34:43,53.9606,105.8817,46.0,88,98,1.21
263,Umm Kaddadah,SD,2021-06-01 21:34:43,13.6017,26.6876,93.87,13,77,7.38
264,Cajabamba,PE,2021-06-01 21:34:44,-7.6167,-78.05,65.57,59,97,3.8
265,Kirakira,SB,2021-06-01 21:34:44,-10.4544,161.9205,81.25,84,94,10.36
266,Syamzha,RU,2021-06-01 21:34:44,60.0158,41.0614,44.71,92,78,4.9
267,Bathsheba,BB,2021-06-01 21:34:45,13.2167,-59.5167,81.21,61,75,14.32
268,Saint-Francois,FR,2021-06-01 21:34:45,46.4154,3.9054,65.64,72,0,3.44
269,Linares,CL,2021-06-01 21:34:46,-35.85,-71.6,56.35,96,100,6.13
270,Caruray,PH,2021-06-01 21:34:46,10.3094,119.0128,80.71,92,100,3.98
271,Tabas,IR,2021-06-01 21:34:46,33.5959,56.9244,92.16,9,0,3.8
272,Upernavik,GL,2021-06-01 21:34:47,72.7868,-56.1549,31.39,88,30,6.98
273,Adamovka,RU,2021-06-01 21:34:47,51.5223,59.9396,59.63,62,6,10.09
274,Caravelas,BR,2021-06-01 21:34:47,-17.7125,-39.2481,73.47,85,37,5.44
275,Matara,LK,2021-06-01 21:34:48,5.9485,80.5353,79.12,86,51,11.1
