City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
290,Vikulovo,RU,56.8167,70.6107,47.28,45,37,19.66,light rain
291,Pedasi,PA,7.5333,-80.0333,80.35,80,100,0.94,overcast clouds
292,Guerrero Negro,MX,27.9769,-114.0611,62.67,85,0,11.95,clear sky
293,Pringsewu,ID,-5.3582,104.9744,88.63,63,96,2.1,overcast clouds
294,Pisco,PE,-13.7,-76.2167,63.01,77,90,4.61,overcast clouds
295,Umea,SE,63.8284,20.2597,58.93,77,0,0.0,clear sky
296,Sao Joao Da Barra,BR,-21.6403,-41.0511,69.13,92,13,6.98,few clouds
297,Muros,ES,42.7762,-9.0603,53.83,93,50,5.75,scattered clouds
298,Dunmore East,IE,52.1514,-6.9861,53.69,74,35,11.07,scattered clouds
299,Tashtyp,RU,52.7939,89.8983,68.7,75,98,0.45,light rain
300,Vestmannaeyjar,IS,63.4427,-20.2734,48.61,87,100,27.47,overcast clouds
301,George Town,MY,5.4112,100.3354,91.35,62,20,5.99,few clouds
302,San Luis De Palenque,CO,5.4214,-71.7317,73.69,96,100,3.51,overcast clouds
303,Norman Wells,CA,65.282,-126.8329,53.64,87,75,5.75,light rain
304,Sinjar,IQ,36.3209,41.8754,80.71,20,4,3.56,clear sky
305,Douglas,US,41.3,-96.167,75.07,41,1,9.78,clear sky
306,Jibuti,DJ,11.5,42.5,83.62,55,32,6.02,scattered clouds
307,Saint-Denis,FR,48.9167,2.3333,63.21,94,90,10.36,overcast clouds
308,Acapulco,MX,16.8634,-99.8901,82.15,69,13,3.24,few clouds
309,Santa Maria,BR,-29.6842,-53.8069,56.89,80,0,4.23,clear sky
310,Shibetsu,JP,43.659,145.132,61.5,82,75,24.79,moderate rain
311,Alyangula,AU,-13.8483,136.4192,78.67,69,90,17.34,overcast clouds
312,Pangkalanbuun,ID,-2.6833,111.6167,92.88,47,91,3.31,overcast clouds
313,Maunabo,PR,18.0072,-65.8993,80.44,86,94,12.53,overcast clouds
314,Naryan-Mar,RU,67.6713,53.087,61.92,33,36,13.73,scattered clouds
315,Fort Nelson,CA,58.8053,-122.7002,60.39,55,75,11.5,light rain
316,Bairiki,KI,1.3292,172.9752,86.0,70,75,9.55,broken clouds
317,Alvaraes,BR,-3.2208,-64.8042,72.95,95,96,2.17,overcast clouds
318,Flin Flon,CA,54.7682,-101.865,59.25,98,100,5.44,overcast clouds
319,Portland,US,45.5234,-122.6762,68.38,67,20,1.99,few clouds
320,Ayan,RU,56.45,138.1667,40.53,90,96,9.98,overcast clouds
321,Marsh Harbour,BS,26.5412,-77.0636,78.03,81,79,14.76,broken clouds
322,Beyneu,KZ,45.3167,55.2,79.61,39,0,17.81,clear sky
323,Mount Gambier,AU,-37.8333,140.7667,55.31,58,90,10.36,overcast clouds
